place,Jurisdiction,Age,Females,Males,year
12815,Centennial,0-4,2433,2606,2011
12910,Central City,0-4,15,8,2011
13845,Cherry Hills Village,0-4,143,102,2011
16385,Columbine Valley,0-4,16,16,2011
16495,Commerce City,0-4,2920,2693,2011
19080,Dacono,0-4,121,281,2011
19630,Deer Trail,0-4,6,8,2011
23135,Edgewater,0-4,85,284,2011
23740,Elizabeth,0-4,51,84,2011
24620,Empire,0-4,7,8,2011
24785,Englewood,0-4,1078,774,2011
24950,Erie,0-4,707,847,2011
26270,Federal Heights,0-4,572,581,2011
26600,Firestone,0-4,623,659,2011
27700,Fort Lupton,0-4,317,328,2011
28105,Foxfield,0-4,10,5,2011
28360,Frederick,0-4,514,307,2011
29735,Georgetown,0-4,17,33,2011
30340,Glendale,0-4,131,136,2011
30835,Golden,0-4,344,490,2011
33035,Greenwood Village,0-4,169,239,2011
37820,Hudson,0-4,100,92,2011
38370,Idaho Springs,0-4,23,50,2011
39195,Jamestown,0-4,0,0,2011
40185,Keenesburg,0-4,31,31,2011
40790,Kiowa,0-4,15,18,2011
41835,Lafayette,0-4,944,1060,2011
42495,Lakeside,0-4,0,0,2011
43000,Lakewood,0-4,4034,4206,2011
43550,Larkspur,0-4,13,13,2011
45255,Littleton,0-4,1147,1349,2011
45955,Lone Tree,0-4,463,357,2011
45970,Longmont,0-4,3424,2850,2011
46355,Louisville,0-4,661,538,2011
47070,Lyons,0-4,65,100,2011
49600,Mead,0-4,131,54,2011
52075,Morrison,0-4,0,0,2011
52350,Mountain View,0-4,0,19,2011
53175,Nederland,0-4,76,39,2011
54330,Northglenn,0-4,1293,1237,2011
57630,Parker,0-4,1977,2114,2011
60160,Platteville,0-4,67,111,2011
69645,Sheridan,0-4,327,214,2011
70360,Silver Plume,0-4,13,0,2011
75640,Superior,0-4,292,467,2011
77290,Thornton,0-4,4706,5104,2011
82735,Ward,0-4,0,0,2011
83835,Westminster,0-4,3820,4090,2011
84440,Wheat Ridge,0-4,819,640,2011
8124,Weld County (DRCOG),0-4,2495,2627,2011
8000,Region,0-4,97906,103031,2011
3455,Arvada,5-9,3521,3028,2011
4000,Aurora,5-9,11608,13682,2011
6090,Bennett,5-9,90,125,2011
7025,Black Hawk,5-9,0,0,2011
7850,Boulder City,5-9,2034,1850,2011
8001,Adams County,5-9,17356,18865,2011
8005,Arapahoe County,5-9,19752,21890,2011
8013,Boulder County,5-9,8685,9282,2011
8014,Broomfield City/County,5-9,2144,2035,2011
8019,Clear Creek County,5-9,184,181,2011
8031,Denver City/County,5-9,18585,17928,2011
8035,Douglas County,5-9,12856,12385,2011
8047,Gilpin County,5-9,92,111,2011
8059,Jefferson County,5-9,15674,15940,2011
8070,Bow Mar,5-9,51,32,2011
8123,Weld County,5-9,10614,10349,2011
8675,Brighton,5-9,1326,1401,2011
12390,Castle Pines North,5-9,697,479,2011
12415,Castle Rock,5-9,2264,2297,2011
12815,Centennial,5-9,3716,3481,2011
12910,Central City,5-9,19,1,2011
13845,Cherry Hills Village,5-9,225,268,2011
16385,Columbine Valley,5-9,48,34,2011
16495,Commerce City,5-9,2080,2129,2011
19080,Dacono,5-9,345,187,2011
19630,Deer Trail,5-9,14,14,2011
23135,Edgewater,5-9,207,173,2011
23740,Elizabeth,5-9,84,58,2011
24620,Empire,5-9,0,0,2011
24785,Englewood,5-9,850,966,2011
24950,Erie,5-9,731,889,2011
26270,Federal Heights,5-9,357,538,2011
26600,Firestone,5-9,525,561,2011
27700,Fort Lupton,5-9,277,427,2011
28105,Foxfield,5-9,22,60,2011
28360,Frederick,5-9,454,404,2011
29735,Georgetown,5-9,45,43,2011
30340,Glendale,5-9,52,172,2011
30835,Golden,5-9,284,549,2011
33035,Greenwood Village,5-9,381,455,2011
37820,Hudson,5-9,19,83,2011
38370,Idaho Springs,5-9,0,64,2011
39195,Jamestown,5-9,3,14,2011
40185,Keenesburg,5-9,98,94,2011
40790,Kiowa,5-9,58,50,2011
41835,Lafayette,5-9,811,977,2011
42495,Lakeside,5-9,0,0,2011
43000,Lakewood,5-9,3511,4030,2011
43550,Larkspur,5-9,1,7,2011
45255,Littleton,5-9,1167,1089,2011
45955,Lone Tree,5-9,487,274,2011
45970,Longmont,5-9,3330,3453,2011
46355,Louisville,5-9,433,675,2011
47070,Lyons,5-9,77,96,2011
49600,Mead,5-9,181,220,2011
52075,Morrison,5-9,0,1,2011
52350,Mountain View,5-9,25,64,2011
53175,Nederland,5-9,37,38,2011
54330,Northglenn,5-9,1091,1300,2011
57630,Parker,5-9,2378,2246,2011
60160,Platteville,5-9,101,124,2011
69645,Sheridan,5-9,163,269,2011
70360,Silver Plume,5-9,0,0,2011
75640,Superior,5-9,595,489,2011
77290,Thornton,5-9,5292,5374,2011
82735,Ward,5-9,0,6,2011
83835,Westminster,5-9,3460,3604,2011
84440,Wheat Ridge,5-9,699,944,2011
8124,Weld County (DRCOG),5-9,2566,2536,2011
8000,Region,5-9,97894,101153,2011
3455,Arvada,10-14,3628,3817,2011
4000,Aurora,10-14,10778,10140,2011
6090,Bennett,10-14,113,93,2011
7025,Black Hawk,10-14,0,0,2011
7850,Boulder City,10-14,1612,1801,2011
8001,Adams County,10-14,15718,15691,2011
8005,Arapahoe County,10-14,19230,18945,2011
8013,Boulder County,10-14,8461,8693,2011
8014,Broomfield City/County,10-14,1837,2060,2011
8019,Clear Creek County,10-14,241,310,2011
8031,Denver City/County,10-14,14034,15694,2011
8035,Douglas County,10-14,11853,13114,2011
8047,Gilpin County,10-14,212,111,2011
8059,Jefferson County,10-14,16850,18308,2011
8070,Bow Mar,10-14,63,84,2011
8123,Weld County,10-14,8195,9251,2011
8675,Brighton,10-14,1182,1299,2011
12390,Castle Pines North,10-14,528,373,2011
12415,Castle Rock,10-14,1783,2104,2011
12815,Centennial,10-14,3596,3761,2011
12910,Central City,10-14,9,10,2011
13845,Cherry Hills Village,10-14,276,302,2011
16385,Columbine Valley,10-14,42,42,2011
16495,Commerce City,10-14,1423,1421,2011
19080,Dacono,10-14,107,113,2011
19630,Deer Trail,10-14,23,3,2011
23135,Edgewater,10-14,206,248,2011
23740,Elizabeth,10-14,64,48,2011
24620,Empire,10-14,0,10,2011
24785,Englewood,10-14,613,833,2011
24950,Erie,10-14,731,639,2011
26270,Federal Heights,10-14,175,279,2011
26600,Firestone,10-14,346,279,2011
27700,Fort Lupton,10-14,277,324,2011
28105,Foxfield,10-14,28,46,2011
28360,Frederick,10-14,117,364,2011
29735,Georgetown,10-14,82,25,2011
30340,Glendale,10-14,30,28,2011
30835,Golden,10-14,342,518,2011
33035,Greenwood Village,10-14,590,560,2011
37820,Hudson,10-14,57,75,2011
38370,Idaho Springs,10-14,17,41,2011
39195,Jamestown,10-14,1,21,2011
40185,Keenesburg,10-14,56,75,2011
40790,Kiowa,10-14,28,56,2011
41835,Lafayette,10-14,717,967,2011
42495,Lakeside,10-14,0,0,2011
43000,Lakewood,10-14,3672,4249,2011
43550,Larkspur,10-14,4,11,2011
45255,Littleton,10-14,1341,1393,2011
45955,Lone Tree,10-14,256,393,2011
45970,Longmont,10-14,3107,3207,2011
46355,Louisville,10-14,605,635,2011
47070,Lyons,10-14,10,21,2011
49600,Mead,10-14,94,162,2011
52075,Morrison,10-14,1,4,2011
52350,Mountain View,10-14,12,26,2011
53175,Nederland,10-14,38,69,2011
54330,Northglenn,10-14,1051,1120,2011
57630,Parker,10-14,2062,1975,2011
60160,Platteville,10-14,81,145,2011
69645,Sheridan,10-14,107,262,2011
70360,Silver Plume,10-14,3,6,2011
75640,Superior,10-14,508,447,2011
77290,Thornton,10-14,4679,4349,2011
82735,Ward,10-14,0,6,2011
83835,Westminster,10-14,3587,3902,2011
84440,Wheat Ridge,10-14,620,958,2011
8124,Weld County (DRCOG),10-14,1894,1816,2011
8000,Region,10-14,90330,94742,2011
3455,Arvada,15-19,3521,3373,2011
4000,Aurora,15-19,10701,10741,2011
6090,Bennett,15-19,39,73,2011
7025,Black Hawk,15-19,0,0,2011
7850,Boulder City,15-19,5199,5761,2011
8001,Adams County,15-19,14524,14978,2011
8005,Arapahoe County,15-19,18472,19852,2011
8013,Boulder County,15-19,11619,12125,2011
8014,Broomfield City/County,15-19,1607,1909,2011
8019,Clear Creek County,15-19,323,237,2011
8031,Denver City/County,15-19,15869,15938,2011
8035,Douglas County,15-19,8913,9591,2011
8047,Gilpin County,15-19,109,168,2011
8059,Jefferson County,15-19,16983,18846,2011
8070,Bow Mar,15-19,37,36,2011
8123,Weld County,15-19,9516,9758,2011
8675,Brighton,15-19,1164,1003,2011
12390,Castle Pines North,15-19,164,433,2011
12415,Castle Rock,15-19,1375,1462,2011
12815,Centennial,15-19,3730,4138,2011
12910,Central City,15-19,12,19,2011
13845,Cherry Hills Village,15-19,286,307,2011
16385,Columbine Valley,15-19,39,60,2011
16495,Commerce City,15-19,1610,1258,2011
19080,Dacono,15-19,49,67,2011
19630,Deer Trail,15-19,4,5,2011
23135,Edgewater,15-19,49,150,2011
23740,Elizabeth,15-19,45,59,2011
24620,Empire,15-19,16,73,2011
24785,Englewood,15-19,800,736,2011
24950,Erie,15-19,541,414,2011
26270,Federal Heights,15-19,390,547,2011
26600,Firestone,15-19,291,136,2011
27700,Fort Lupton,15-19,252,273,2011
28105,Foxfield,15-19,33,34,2011
28360,Frederick,15-19,176,260,2011
29735,Georgetown,15-19,45,13,2011
30340,Glendale,15-19,48,98,2011
30835,Golden,15-19,781,1383,2011
33035,Greenwood Village,15-19,290,690,2011
37820,Hudson,15-19,42,67,2011
38370,Idaho Springs,15-19,91,8,2011
39195,Jamestown,15-19,27,12,2011
40185,Keenesburg,15-19,61,55,2011
40790,Kiowa,15-19,27,6,2011
41835,Lafayette,15-19,657,564,2011
42495,Lakeside,15-19,0,0,2011
43000,Lakewood,15-19,4519,4182,2011
43550,Larkspur,15-19,0,4,2011
45255,Littleton,15-19,1194,1368,2011
45955,Lone Tree,15-19,367,436,2011
45970,Longmont,15-19,2801,2937,2011
46355,Louisville,15-19,735,565,2011
47070,Lyons,15-19,27,23,2011
49600,Mead,15-19,40,110,2011
52075,Morrison,15-19,1,6,2011
52350,Mountain View,15-19,35,7,2011
53175,Nederland,15-19,37,30,2011
54330,Northglenn,15-19,1654,1368,2011
57630,Parker,15-19,1483,1257,2011
60160,Platteville,15-19,109,113,2011
69645,Sheridan,15-19,318,221,2011
70360,Silver Plume,15-19,0,0,2011
75640,Superior,15-19,441,377,2011
77290,Thornton,15-19,3454,3645,2011
82735,Ward,15-19,4,6,2011
83835,Westminster,15-19,3623,3395,2011
84440,Wheat Ridge,15-19,679,983,2011
8124,Weld County (DRCOG),15-19,1666,1429,2011
8000,Region,15-19,90085,95073,2011
3455,Arvada,20-24,2767,3378,2011
4000,Aurora,20-24,11017,10811,2011
6090,Bennett,20-24,44,17,2011
7025,Black Hawk,20-24,0,10,2011
7850,Boulder City,20-24,9391,10198,2011
8001,Adams County,20-24,14500,15159,2011
8005,Arapahoe County,20-24,17309,17581,2011
8013,Boulder County,20-24,14006,16350,2011
8014,Broomfield City/County,20-24,1649,1742,2011
8019,Clear Creek County,20-24,132,76,2011
8031,Denver City/County,20-24,23311,22921,2011
8035,Douglas County,20-24,5054,4841,2011
8047,Gilpin County,20-24,82,76,2011
8059,Jefferson County,20-24,14883,16998,2011
8070,Bow Mar,20-24,26,0,2011
8123,Weld County,20-24,9376,9327,2011
8675,Brighton,20-24,977,1333,2011
12390,Castle Pines North,20-24,144,67,2011
12415,Castle Rock,20-24,905,949,2011
12815,Centennial,20-24,2109,2617,2011
12910,Central City,20-24,40,15,2011
13845,Cherry Hills Village,20-24,69,117,2011
16385,Columbine Valley,20-24,11,24,2011
16495,Commerce City,20-24,1175,1067,2011
19080,Dacono,20-24,103,80,2011
19630,Deer Trail,20-24,14,7,2011
23135,Edgewater,20-24,256,154,2011
23740,Elizabeth,20-24,34,49,2011
24620,Empire,20-24,8,4,2011
24785,Englewood,20-24,1225,851,2011
24950,Erie,20-24,336,246,2011
26270,Federal Heights,20-24,559,518,2011
26600,Firestone,20-24,128,195,2011
27700,Fort Lupton,20-24,296,374,2011
28105,Foxfield,20-24,18,18,2011
28360,Frederick,20-24,175,225,2011
29735,Georgetown,20-24,3,51,2011
30340,Glendale,20-24,444,207,2011
30835,Golden,20-24,752,1409,2011
33035,Greenwood Village,20-24,136,322,2011
37820,Hudson,20-24,60,41,2011
38370,Idaho Springs,20-24,58,21,2011
39195,Jamestown,20-24,7,0,2011
40185,Keenesburg,20-24,21,9,2011
40790,Kiowa,20-24,9,5,2011
41835,Lafayette,20-24,369,900,2011
42495,Lakeside,20-24,6,0,2011
43000,Lakewood,20-24,4466,5634,2011
43550,Larkspur,20-24,11,10,2011
45255,Littleton,20-24,1148,1380,2011
45955,Lone Tree,20-24,319,139,2011
45970,Longmont,20-24,2478,2852,2011
46355,Louisville,20-24,413,527,2011
47070,Lyons,20-24,39,39,2011
49600,Mead,20-24,9,53,2011
52075,Morrison,20-24,2,10,2011
52350,Mountain View,20-24,22,9,2011
53175,Nederland,20-24,15,37,2011
54330,Northglenn,20-24,1308,1445,2011
57630,Parker,20-24,1030,889,2011
60160,Platteville,20-24,101,119,2011
69645,Sheridan,20-24,150,191,2011
70360,Silver Plume,20-24,0,0,2011
75640,Superior,20-24,535,665,2011
77290,Thornton,20-24,3847,3769,2011
82735,Ward,20-24,0,0,2011
83835,Westminster,20-24,3886,3743,2011
84440,Wheat Ridge,20-24,982,991,2011
8124,Weld County (DRCOG),20-24,1242,1399,2011
8000,Region,20-24,92168,97143,2011
3455,Arvada,25-29,3251,3014,2011
4000,Aurora,25-29,12795,13040,2011
6090,Bennett,25-29,109,79,2011
7025,Black Hawk,25-29,9,0,2011
7850,Boulder City,25-29,4063,5042,2011
8001,Adams County,25-29,17606,18186,2011
8005,Arapahoe County,25-29,21257,20917,2011
8013,Boulder County,25-29,9248,10318,2011
8014,Broomfield City/County,25-29,1630,1651,2011
8019,Clear Creek County,25-29,193,287,2011
8031,Denver City/County,25-29,31872,32120,2011
8035,Douglas County,25-29,7622,6683,2011
8047,Gilpin County,25-29,124,70,2011
8059,Jefferson County,25-29,16213,16988,2011
8070,Bow Mar,25-29,8,7,2011
8123,Weld County,25-29,8647,8779,2011
8675,Brighton,25-29,980,1351,2011
12390,Castle Pines North,25-29,150,76,2011
12415,Castle Rock,25-29,1472,1170,2011
12815,Centennial,25-29,2473,3034,2011
12910,Central City,25-29,17,13,2011
13845,Cherry Hills Village,25-29,69,17,2011
16385,Columbine Valley,25-29,8,13,2011
16495,Commerce City,25-29,2059,2169,2011
19080,Dacono,25-29,138,139,2011
19630,Deer Trail,25-29,8,13,2011
23135,Edgewater,25-29,280,129,2011
23740,Elizabeth,25-29,69,56,2011
24620,Empire,25-29,5,18,2011
24785,Englewood,25-29,1514,1552,2011
24950,Erie,25-29,374,406,2011
26270,Federal Heights,25-29,452,581,2011
26600,Firestone,25-29,527,306,2011
27700,Fort Lupton,25-29,285,323,2011
28105,Foxfield,25-29,2,3,2011
28360,Frederick,25-29,304,264,2011
29735,Georgetown,25-29,63,151,2011
30340,Glendale,25-29,452,370,2011
30835,Golden,25-29,402,849,2011
33035,Greenwood Village,25-29,334,394,2011
37820,Hudson,25-29,66,89,2011
38370,Idaho Springs,25-29,51,61,2011
39195,Jamestown,25-29,19,13,2011
40185,Keenesburg,25-29,5,16,2011
40790,Kiowa,25-29,20,23,2011
41835,Lafayette,25-29,687,640,2011
42495,Lakeside,25-29,0,7,2011
43000,Lakewood,25-29,5089,5639,2011
43550,Larkspur,25-29,1,9,2011
45255,Littleton,25-29,1428,1335,2011
45955,Lone Tree,25-29,475,440,2011
45970,Longmont,25-29,2708,2796,2011
46355,Louisville,25-29,432,476,2011
47070,Lyons,25-29,34,59,2011
49600,Mead,25-29,97,83,2011
52075,Morrison,25-29,11,0,2011
52350,Mountain View,25-29,30,9,2011
53175,Nederland,25-29,19,41,2011
54330,Northglenn,25-29,1726,1833,2011
57630,Parker,25-29,1398,1309,2011
60160,Platteville,25-29,56,53,2011
69645,Sheridan,25-29,394,290,2011
70360,Silver Plume,25-29,18,22,2011
75640,Superior,25-29,316,371,2011
77290,Thornton,25-29,5051,4639,2011
82735,Ward,25-29,6,0,2011
83835,Westminster,25-29,4532,3826,2011
84440,Wheat Ridge,25-29,1284,1297,2011
8124,Weld County (DRCOG),25-29,2021,1851,2011
8000,Region,25-29,107786,109071,2011
3455,Arvada,30-34,2987,2774,2011
4000,Aurora,30-34,13129,12858,2011
6090,Bennett,30-34,43,61,2011
7025,Black Hawk,30-34,0,8,2011
7850,Boulder City,30-34,2715,3425,2011
8001,Adams County,30-34,17188,18296,2011
8005,Arapahoe County,30-34,20469,20311,2011
8013,Boulder County,30-34,9395,9934,2011
8014,Broomfield City/County,30-34,1951,1942,2011
8019,Clear Creek County,30-34,245,279,2011
8031,Denver City/County,30-34,26977,29123,2011
8035,Douglas County,30-34,10252,9429,2011
8047,Gilpin County,30-34,191,165,2011
8059,Jefferson County,30-34,15731,16228,2011
8070,Bow Mar,30-34,0,0,2011
8123,Weld County,30-34,8538,8930,2011
8675,Brighton,30-34,1400,1527,2011
12390,Castle Pines North,30-34,267,210,2011
12415,Castle Rock,30-34,1946,1455,2011
12815,Centennial,30-34,2671,2541,2011
12910,Central City,30-34,59,24,2011
13845,Cherry Hills Village,30-34,67,61,2011
16385,Columbine Valley,30-34,3,0,2011
16495,Commerce City,30-34,2133,2430,2011
19080,Dacono,30-34,150,241,2011
19630,Deer Trail,30-34,6,10,2011
23135,Edgewater,30-34,321,264,2011
23740,Elizabeth,30-34,70,70,2011
24620,Empire,30-34,0,0,2011
24785,Englewood,30-34,1026,1287,2011
24950,Erie,30-34,671,695,2011
26270,Federal Heights,30-34,310,414,2011
26600,Firestone,30-34,520,373,2011
27700,Fort Lupton,30-34,321,223,2011
28105,Foxfield,30-34,3,6,2011
28360,Frederick,30-34,358,366,2011
29735,Georgetown,30-34,66,59,2011
30340,Glendale,30-34,231,289,2011
30835,Golden,30-34,659,791,2011
33035,Greenwood Village,30-34,385,368,2011
37820,Hudson,30-34,67,100,2011
38370,Idaho Springs,30-34,55,69,2011
39195,Jamestown,30-34,0,0,2011
40185,Keenesburg,30-34,62,54,2011
40790,Kiowa,30-34,47,35,2011
41835,Lafayette,30-34,960,1067,2011
42495,Lakeside,30-34,0,0,2011
43000,Lakewood,30-34,4749,4881,2011
43550,Larkspur,30-34,8,2,2011
45255,Littleton,30-34,1183,1105,2011
45955,Lone Tree,30-34,224,203,2011
45970,Longmont,30-34,3178,3151,2011
46355,Louisville,30-34,723,699,2011
47070,Lyons,30-34,50,38,2011
49600,Mead,30-34,94,104,2011
52075,Morrison,30-34,2,3,2011
52350,Mountain View,30-34,36,21,2011
53175,Nederland,30-34,43,52,2011
54330,Northglenn,30-34,1540,988,2011
57630,Parker,30-34,1972,1857,2011
60160,Platteville,30-34,105,81,2011
69645,Sheridan,30-34,175,252,2011
70360,Silver Plume,30-34,0,32,2011
75640,Superior,30-34,461,560,2011
77290,Thornton,30-34,5042,5132,2011
82735,Ward,30-34,0,0,2011
83835,Westminster,30-34,3698,4642,2011
84440,Wheat Ridge,30-34,739,1092,2011
8124,Weld County (DRCOG),30-34,2137,2096,2011
8000,Region,30-34,104536,107803,2011
3455,Arvada,35-39,3492,3650,2011
4000,Aurora,35-39,11820,13009,2011
6090,Bennett,35-39,65,61,2011
7025,Black Hawk,35-39,0,0,2011
7850,Boulder City,35-39,2880,3319,2011
8001,Adams County,35-39,16395,17640,2011
8005,Arapahoe County,35-39,20098,20871,2011
8013,Boulder County,35-39,10330,9980,2011
8014,Broomfield City/County,35-39,2266,2262,2011
8019,Clear Creek County,35-39,256,326,2011
8031,Denver City/County,35-39,22566,26247,2011
8035,Douglas County,35-39,12609,12128,2011
8047,Gilpin County,35-39,232,201,2011
8059,Jefferson County,35-39,17919,18379,2011
8070,Bow Mar,35-39,48,28,2011
8123,Weld County,35-39,9218,8897,2011
8675,Brighton,35-39,1126,1236,2011
12390,Castle Pines North,35-39,409,469,2011
12415,Castle Rock,35-39,2421,2627,2011
12815,Centennial,35-39,3359,3185,2011
12910,Central City,35-39,35,27,2011
13845,Cherry Hills Village,35-39,159,104,2011
16385,Columbine Valley,35-39,19,17,2011
16495,Commerce City,35-39,1944,2058,2011
19080,Dacono,35-39,167,154,2011
19630,Deer Trail,35-39,7,14,2011
23135,Edgewater,35-39,260,200,2011
23740,Elizabeth,35-39,67,66,2011
24620,Empire,35-39,0,7,2011
24785,Englewood,35-39,1167,1430,2011
24950,Erie,35-39,773,742,2011
26270,Federal Heights,35-39,582,503,2011
26600,Firestone,35-39,334,570,2011
27700,Fort Lupton,35-39,259,192,2011
28105,Foxfield,35-39,30,24,2011
28360,Frederick,35-39,363,386,2011
29735,Georgetown,35-39,28,59,2011
30340,Glendale,35-39,214,324,2011
30835,Golden,35-39,421,669,2011
33035,Greenwood Village,35-39,328,250,2011
37820,Hudson,35-39,54,97,2011
38370,Idaho Springs,35-39,80,72,2011
39195,Jamestown,35-39,9,24,2011
40185,Keenesburg,35-39,53,45,2011
40790,Kiowa,35-39,25,30,2011
41835,Lafayette,35-39,1265,1064,2011
42495,Lakeside,35-39,0,0,2011
43000,Lakewood,35-39,5225,5350,2011
43550,Larkspur,35-39,4,2,2011
45255,Littleton,35-39,1331,1093,2011
45955,Lone Tree,35-39,422,376,2011
45970,Longmont,35-39,3238,2991,2011
46355,Louisville,35-39,652,631,2011
47070,Lyons,35-39,79,85,2011
49600,Mead,35-39,116,62,2011
52075,Morrison,35-39,0,20,2011
52350,Mountain View,35-39,19,12,2011
53175,Nederland,35-39,59,88,2011
54330,Northglenn,35-39,1253,1469,2011
57630,Parker,35-39,2312,2377,2011
60160,Platteville,35-39,49,88,2011
69645,Sheridan,35-39,114,96,2011
70360,Silver Plume,35-39,9,19,2011
75640,Superior,35-39,554,353,2011
77290,Thornton,35-39,4249,4850,2011
82735,Ward,35-39,0,3,2011
83835,Westminster,35-39,4367,3534,2011
84440,Wheat Ridge,35-39,848,950,2011
8124,Weld County (DRCOG),35-39,2111,2218,2011
8000,Region,35-39,104782,110252,2011
3455,Arvada,40-44,3610,3634,2011
4000,Aurora,40-44,10530,10795,2011
6090,Bennett,40-44,112,113,2011
7025,Black Hawk,40-44,0,0,2011
7850,Boulder City,40-44,2772,3031,2011
8001,Adams County,40-44,14843,15743,2011
8005,Arapahoe County,40-44,21285,19775,2011
8013,Boulder County,40-44,10274,10802,2011
8014,Broomfield City/County,40-44,2284,2439,2011
8019,Clear Creek County,40-44,379,404,2011
8031,Denver City/County,40-44,18531,21281,2011
8035,Douglas County,40-44,13752,13323,2011
8047,Gilpin County,40-44,195,263,2011
8059,Jefferson County,40-44,19077,18615,2011
8070,Bow Mar,40-44,50,50,2011
8123,Weld County,40-44,7727,8488,2011
8675,Brighton,40-44,1118,1453,2011
12390,Castle Pines North,40-44,504,425,2011
12415,Castle Rock,40-44,2113,2058,2011
12815,Centennial,40-44,4539,3412,2011
12910,Central City,40-44,17,16,2011
13845,Cherry Hills Village,40-44,206,153,2011
16385,Columbine Valley,40-44,38,19,2011
16495,Commerce City,40-44,1161,1356,2011
19080,Dacono,40-44,197,89,2011
19630,Deer Trail,40-44,6,13,2011
23135,Edgewater,40-44,121,171,2011
23740,Elizabeth,40-44,26,33,2011
24620,Empire,40-44,3,6,2011
24785,Englewood,40-44,1042,922,2011
24950,Erie,40-44,865,953,2011
26270,Federal Heights,40-44,369,332,2011
26600,Firestone,40-44,396,358,2011
27700,Fort Lupton,40-44,291,188,2011
28105,Foxfield,40-44,31,18,2011
28360,Frederick,40-44,331,321,2011
29735,Georgetown,40-44,44,32,2011
30340,Glendale,40-44,171,111,2011
30835,Golden,40-44,616,555,2011
33035,Greenwood Village,40-44,465,391,2011
37820,Hudson,40-44,74,63,2011
38370,Idaho Springs,40-44,74,108,2011
39195,Jamestown,40-44,29,11,2011
40185,Keenesburg,40-44,59,32,2011
40790,Kiowa,40-44,49,30,2011
41835,Lafayette,40-44,899,1016,2011
42495,Lakeside,40-44,0,2,2011
43000,Lakewood,40-44,4198,4842,2011
43550,Larkspur,40-44,10,8,2011
45255,Littleton,40-44,1568,1360,2011
45955,Lone Tree,40-44,424,481,2011
45970,Longmont,40-44,2960,2851,2011
46355,Louisville,40-44,654,685,2011
47070,Lyons,40-44,61,72,2011
49600,Mead,40-44,126,197,2011
52075,Morrison,40-44,9,7,2011
52350,Mountain View,40-44,17,44,2011
53175,Nederland,40-44,99,74,2011
54330,Northglenn,40-44,1249,1172,2011
57630,Parker,40-44,2161,2233,2011
60160,Platteville,40-44,80,117,2011
69645,Sheridan,40-44,122,188,2011
70360,Silver Plume,40-44,0,0,2011
75640,Superior,40-44,647,830,2011
77290,Thornton,40-44,4618,4522,2011
82735,Ward,40-44,10,1,2011
83835,Westminster,40-44,3762,3910,2011
84440,Wheat Ridge,40-44,848,853,2011
8124,Weld County (DRCOG),40-44,2218,2157,2011
8000,Region,40-44,102838,104802,2011
3455,Arvada,45-49,4812,4199,2011
4000,Aurora,45-49,11326,10725,2011
6090,Bennett,45-49,148,114,2011
7025,Black Hawk,45-49,0,0,2011
7850,Boulder City,45-49,2888,2403,2011
8001,Adams County,45-49,14739,15262,2011
8005,Arapahoe County,45-49,22118,20791,2011
8013,Boulder County,45-49,11200,10933,2011
8014,Broomfield City/County,45-49,2213,2183,2011
8019,Clear Creek County,45-49,405,442,2011
8031,Denver City/County,45-49,17523,19062,2011
8035,Douglas County,45-49,12657,12384,2011
8047,Gilpin County,45-49,235,280,2011
8059,Jefferson County,45-49,23236,21943,2011
8070,Bow Mar,45-49,36,66,2011
8123,Weld County,45-49,8400,8743,2011
8675,Brighton,45-49,1165,1234,2011
12390,Castle Pines North,45-49,581,580,2011
12415,Castle Rock,45-49,1993,1852,2011
12815,Centennial,45-49,4556,4188,2011
12910,Central City,45-49,13,31,2011
13845,Cherry Hills Village,45-49,292,241,2011
16385,Columbine Valley,45-49,59,36,2011
16495,Commerce City,45-49,936,1225,2011
19080,Dacono,45-49,99,78,2011
19630,Deer Trail,45-49,35,16,2011
23135,Edgewater,45-49,276,161,2011
23740,Elizabeth,45-49,48,34,2011
24620,Empire,45-49,5,17,2011
24785,Englewood,45-49,1303,1040,2011
24950,Erie,45-49,753,647,2011
26270,Federal Heights,45-49,291,209,2011
26600,Firestone,45-49,284,390,2011
27700,Fort Lupton,45-49,232,298,2011
28105,Foxfield,45-49,71,40,2011
28360,Frederick,45-49,282,314,2011
29735,Georgetown,45-49,27,77,2011
30340,Glendale,45-49,45,120,2011
30835,Golden,45-49,766,688,2011
33035,Greenwood Village,45-49,726,566,2011
37820,Hudson,45-49,61,129,2011
38370,Idaho Springs,45-49,152,101,2011
39195,Jamestown,45-49,7,21,2011
40185,Keenesburg,45-49,25,68,2011
40790,Kiowa,45-49,17,38,2011
41835,Lafayette,45-49,1083,835,2011
42495,Lakeside,45-49,0,0,2011
43000,Lakewood,45-49,4937,5200,2011
43550,Larkspur,45-49,17,15,2011
45255,Littleton,45-49,1834,1626,2011
45955,Lone Tree,45-49,509,463,2011
45970,Longmont,45-49,3246,3659,2011
46355,Louisville,45-49,755,900,2011
47070,Lyons,45-49,68,53,2011
49600,Mead,45-49,252,118,2011
52075,Morrison,45-49,19,12,2011
52350,Mountain View,45-49,8,23,2011
53175,Nederland,45-49,60,59,2011
54330,Northglenn,45-49,1191,1135,2011
57630,Parker,45-49,1795,1873,2011
60160,Platteville,45-49,76,138,2011
69645,Sheridan,45-49,198,56,2011
70360,Silver Plume,45-49,16,3,2011
75640,Superior,45-49,632,574,2011
77290,Thornton,45-49,4270,3990,2011
