place,Jurisdiction,Age,Females,Males,year
70360,Silver Plume,5-9,0,16,2010
75640,Superior,5-9,594,552,2010
77290,Thornton,5-9,4969,4770,2010
82735,Ward,5-9,0,7,2010
83835,Westminster,5-9,3454,3509,2010
84440,Wheat Ridge,5-9,712,849,2010
8124,Weld County (DRCOG),5-9,2561,2521,2010
8000,Region,5-9,96566,99510,2010
3455,Arvada,10-14,3773,3546,2010
4000,Aurora,10-14,10793,10167,2010
6090,Bennett,10-14,86,69,2010
7025,Black Hawk,10-14,0,0,2010
7850,Boulder City,10-14,1657,1798,2010
8001,Adams County,10-14,15201,15844,2010
8005,Arapahoe County,10-14,18920,18421,2010
8013,Boulder County,10-14,8246,8672,2010
8014,Broomfield City/County,10-14,1770,2111,2010
8019,Clear Creek County,10-14,263,240,2010
8031,Denver City/County,10-14,13748,15149,2010
8035,Douglas County,10-14,10884,12613,2010
8047,Gilpin County,10-14,175,87,2010
8059,Jefferson County,10-14,17135,17940,2010
8070,Bow Mar,10-14,45,74,2010
8123,Weld County,10-14,7805,8744,2010
8675,Brighton,10-14,1064,1367,2010
12387,Castle Pines,10-14,88,124,2010
12390,Castle Pines North,10-14,440,374,2010
12415,Castle Rock,10-14,1639,1924,2010
12815,Centennial,10-14,3481,3704,2010
12910,Central City,10-14,13,0,2010
13845,Cherry Hills Village,10-14,193,280,2010
16385,Columbine Valley,10-14,38,44,2010
16495,Commerce City,10-14,1263,1344,2010
19080,Dacono,10-14,100,144,2010
19630,Deer Trail,10-14,16,4,2010
23135,Edgewater,10-14,217,188,2010
23740,Elizabeth,10-14,81,62,2010
24620,Empire,10-14,0,8,2010
24785,Englewood,10-14,623,797,2010
24950,Erie,10-14,713,638,2010
26270,Federal Heights,10-14,160,285,2010
26600,Firestone,10-14,308,319,2010
27700,Fort Lupton,10-14,274,234,2010
28105,Foxfield,10-14,30,62,2010
28360,Frederick,10-14,203,286,2010
29735,Georgetown,10-14,70,50,2010
30340,Glendale,10-14,86,17,2010
30835,Golden,10-14,343,454,2010
33035,Greenwood Village,10-14,531,525,2010
37820,Hudson,10-14,42,85,2010
38370,Idaho Springs,10-14,59,8,2010
39195,Jamestown,10-14,3,20,2010
40185,Keenesburg,10-14,68,61,2010
40790,Kiowa,10-14,27,62,2010
41835,Lafayette,10-14,768,895,2010
42495,Lakeside,10-14,0,0,2010
43000,Lakewood,10-14,3716,4379,2010
43550,Larkspur,10-14,4,5,2010
45255,Littleton,10-14,1396,1361,2010
45955,Lone Tree,10-14,322,321,2010
45970,Longmont,10-14,3003,3164,2010
46355,Louisville,10-14,549,678,2010
47070,Lyons,10-14,4,22,2010
